Vds,Vgs,L,W,T,Id
0.2,0.25,2e-07,2e-07,0.0,2.6915605649715693e-10
0.7,0.25,2e-07,2e-07,0.0,4.2988486381994717e-10
1.2,0.25,2e-07,2e-07,0.0,6.215712222386841e-10
1.6999999999999997,0.25,2e-07,2e-07,0.0,9.27408290105445e-10
2.1999999999999997,0.25,2e-07,2e-07,0.0,1.3928564290052943e-09
2.6999999999999997,0.25,2e-07,2e-07,0.0,1.923971798864095e-09
0.2,0.25,2e-07,2e-07,0.0,2.5430495980418253e-10
0.7,0.25,2e-07,2e-07,0.0,4.179906714942685e-10
1.2,0.25,2e-07,2e-07,0.0,6.359565640312649e-10
1.6999999999999997,0.25,2e-07,2e-07,0.0,8.738327613676761e-10
2.1999999999999997,0.25,2e-07,2e-07,0.0,1.3326726471833943e-09
2.6999999999999997,0.25,2e-07,2e-07,0.0,1.7631825589235594e-09
0.2,0.25,2e-07,2e-07,0.0,2.654810896536717e-10
0.7,0.25,2e-07,2e-07,0.0,4.1496274638890155e-10
1.2,0.25,2e-07,2e-07,0.0,6.178389580224277e-10
1.6999999999999997,0.25,2e-07,2e-07,0.0,8.774477593388234e-10
2.1999999999999997,0.25,2e-07,2e-07,0.0,1.2652805824717008e-09
2.6999999999999997,0.25,2e-07,2e-07,0.0,1.7977223434606759e-09
0.2,0.25,2e-07,2e-07,0.0,2.6443605967938774e-10
0.7,0.25,2e-07,2e-07,0.0,4.5772964654743443e-10
1.2,0.25,2e-07,2e-07,0.0,6.806946642603205e-10
1.6999999999999997,0.25,2e-07,2e-07,0.0,9.799983879150983e-10
2.1999999999999997,0.25,2e-07,2e-07,0.0,1.3667324087478982e-09
2.6999999999999997,0.25,2e-07,2e-07,0.0,1.930846429915525e-09
0.2,0.25,2e-07,2e-07,0.0,2.8019422059275077e-10
0.7,0.25,2e-07,2e-07,0.0,4.051535599427334e-10
1.2,0.25,2e-07,2e-07,0.0,5.902002647335302e-10
1.6999999999999997,0.25,2e-07,2e-07,0.0,8.769326748095199e-10
2.1999999999999997,0.25,2e-07,2e-07,0.0,1.190942753795288e-09
2.6999999999999997,0.25,2e-07,2e-07,0.0,1.766310208170575e-09
0.2,0.25,2e-07,2e-07,25.0,4.85530210316285e-10
0.7,0.25,2e-07,2e-07,25.0,7.543936926658305e-10
1.2,0.25,2e-07,2e-07,25.0,1.1662879709865222e-09
1.6999999999999997,0.25,2e-07,2e-07,25.0,1.5989571499579147e-09
2.1999999999999997,0.25,2e-07,2e-07,25.0,2.2255590401692823e-09
2.6999999999999997,0.25,2e-07,2e-07,25.0,2.9938039429073847e-09
0.2,0.25,2e-07,2e-07,25.0,5.548146113711307e-10
0.7,0.25,2e-07,2e-07,25.0,7.743089377734586e-10
1.2,0.25,2e-07,2e-07,25.0,1.148887949568815e-09
1.6999999999999997,0.25,2e-07,2e-07,25.0,1.673531746260812e-09
2.1999999999999997,0.25,2e-07,2e-07,25.0,2.386346608838796e-09
2.6999999999999997,0.25,2e-07,2e-07,25.0,3.1709113040346493e-09
0.2,0.25,2e-07,2e-07,25.0,5.037218801729011e-10
0.7,0.25,2e-07,2e-07,25.0,7.599577383597601e-10
1.2,0.25,2e-07,2e-07,25.0,1.1730772891336304e-09
1.6999999999999997,0.25,2e-07,2e-07,25.0,1.5838574790419748e-09
2.1999999999999997,0.25,2e-07,2e-07,25.0,2.3695391855157645e-09
2.6999999999999997,0.25,2e-07,2e-07,25.0,2.9800444676098106e-09
0.2,0.25,2e-07,2e-07,25.0,4.979383199886389e-10
0.7,0.25,2e-07,2e-07,25.0,7.725717496985052e-10
1.2,0.25,2e-07,2e-07,25.0,1.0205440462174717e-09
1.6999999999999997,0.25,2e-07,2e-07,25.0,1.4284164329463474e-09
2.1999999999999997,0.25,2e-07,2e-07,25.0,1.9912475243014296e-09
2.6999999999999997,0.25,2e-07,2e-07,25.0,2.6321511892175095e-09
0.2,0.25,2e-07,2e-07,25.0,5.219447482405057e-10
0.7,0.25,2e-07,2e-07,25.0,7.584892253912313e-10
1.2,0.25,2e-07,2e-07,25.0,1.1157378276838339e-09
1.6999999999999997,0.25,2e-07,2e-07,25.0,1.5393510329762714e-09
2.1999999999999997,0.25,2e-07,2e-07,25.0,2.1930148364677367e-09
2.6999999999999997,0.25,2e-07,2e-07,25.0,3.0071832383326164e-09
0.2,0.25,2e-07,2e-07,50.0,7.980145253528355e-10
0.7,0.25,2e-07,2e-07,50.0,1.2479712094856982e-09
1.2,0.25,2e-07,2e-07,50.0,1.7777815055882942e-09
1.6999999999999997,0.25,2e-07,2e-07,50.0,2.4167169963696463e-09
2.1999999999999997,0.25,2e-07,2e-07,50.0,3.537337355191334e-09
2.6999999999999997,0.25,2e-07,2e-07,50.0,4.923972542186631e-09
0.2,0.25,2e-07,2e-07,50.0,9.012011585848587e-10
0.7,0.25,2e-07,2e-07,50.0,1.3094349819716038e-09
1.2,0.25,2e-07,2e-07,50.0,1.876678275677681e-09
1.6999999999999997,0.25,2e-07,2e-07,50.0,2.5965839710610947e-09
2.1999999999999997,0.25,2e-07,2e-07,50.0,3.4373770598398426e-09
2.6999999999999997,0.25,2e-07,2e-07,50.0,4.580951557781606e-09
0.2,0.25,2e-07,2e-07,50.0,9.088531865190774e-10
0.7,0.25,2e-07,2e-07,50.0,1.3631756673899312e-09
1.2,0.25,2e-07,2e-07,50.0,1.9136384206506855e-09
1.6999999999999997,0.25,2e-07,2e-07,50.0,2.778592348251467e-09
2.1999999999999997,0.25,2e-07,2e-07,50.0,3.622856258761905e-09
2.6999999999999997,0.25,2e-07,2e-07,50.0,5.167325806232023e-09
0.2,0.25,2e-07,2e-07,50.0,9.54651525885697e-10
0.7,0.25,2e-07,2e-07,50.0,1.3943755851357027e-09
1.2,0.25,2e-07,2e-07,50.0,1.941539260298421e-09
1.6999999999999997,0.25,2e-07,2e-07,50.0,2.767345126389755e-09
2.1999999999999997,0.25,2e-07,2e-07,50.0,3.805599446986679e-09
2.6999999999999997,0.25,2e-07,2e-07,50.0,5.614782594355572e-09
0.2,0.25,2e-07,2e-07,50.0,9.004948806474132e-10
0.7,0.25,2e-07,2e-07,50.0,1.4291408893190863e-09
1.2,0.25,2e-07,2e-07,50.0,1.895310823883869e-09
1.6999999999999997,0.25,2e-07,2e-07,50.0,2.882294846812397e-09
2.1999999999999997,0.25,2e-07,2e-07,50.0,3.732523280470003e-09
2.6999999999999997,0.25,2e-07,2e-07,50.0,5.260868647991952e-09
0.2,0.25,2e-07,4e-07,0.0,5.465664019743042e-10
0.7,0.25,2e-07,4e-07,0.0,8.925024265359648e-10
1.2,0.25,2e-07,4e-07,0.0,1.192661690885181e-09
1.6999999999999997,0.25,2e-07,4e-07,0.0,1.6298951338034717e-09
2.1999999999999997,0.25,2e-07,4e-07,0.0,2.2287632554230923e-09
2.6999999999999997,0.25,2e-07,4e-07,0.0,2.9485170370919453e-09
0.2,0.25,2e-07,4e-07,0.0,5.369882481974632e-10
0.7,0.25,2e-07,4e-07,0.0,7.851919844906763e-10
1.2,0.25,2e-07,4e-07,0.0,1.1448580344341358e-09
1.6999999999999997,0.25,2e-07,4e-07,0.0,1.5035339433843884e-09
2.1999999999999997,0.25,2e-07,4e-07,0.0,2.1644030201078734e-09
2.6999999999999997,0.25,2e-07,4e-07,0.0,2.8708759579397914e-09
0.2,0.25,2e-07,4e-07,0.0,6.118176700507599e-10
0.7,0.25,2e-07,4e-07,0.0,9.049317074102904e-10
1.2,0.25,2e-07,4e-07,0.0,1.282716490242249e-09
1.6999999999999997,0.25,2e-07,4e-07,0.0,1.6960021902819302e-09
2.1999999999999997,0.25,2e-07,4e-07,0.0,2.3087911021286813e-09
2.6999999999999997,0.25,2e-07,4e-07,0.0,3.189230135551755e-09
0.2,0.25,2e-07,4e-07,0.0,5.791973098897617e-10
0.7,0.25,2e-07,4e-07,0.0,9.100709189548672e-10
1.2,0.25,2e-07,4e-07,0.0,1.2905634366280534e-09
1.6999999999999997,0.25,2e-07,4e-07,0.0,1.7167243354565386e-09
2.1999999999999997,0.25,2e-07,4e-07,0.0,2.3422111144144356e-09
2.6999999999999997,0.25,2e-07,4e-07,0.0,3.1523922516808294e-09
0.2,0.25,2e-07,4e-07,0.0,5.667565124373998e-10
0.7,0.25,2e-07,4e-07,0.0,8.7536189836327e-10
1.2,0.25,2e-07,4e-07,0.0,1.2566355343581124e-09
1.6999999999999997,0.25,2e-07,4e-07,0.0,1.761516243049118e-09
2.1999999999999997,0.25,2e-07,4e-07,0.0,2.3756876494081053e-09
2.6999999999999997,0.25,2e-07,4e-07,0.0,3.241251452374554e-09
0.2,0.25,2e-07,4e-07,25.0,1.1272832530531138e-09
0.7,0.25,2e-07,4e-07,25.0,1.6329297776844534e-09
1.2,0.25,2e-07,4e-07,25.0,2.2378174823683562e-09
1.6999999999999997,0.25,2e-07,4e-07,25.0,3.0092332907265023e-09
2.1999999999999997,0.25,2e-07,4e-07,25.0,3.969741242521174e-09
2.6999999999999997,0.25,2e-07,4e-07,25.0,5.027780445780835e-09
0.2,0.25,2e-07,4e-07,25.0,1.1010912811281944e-09
0.7,0.25,2e-07,4e-07,25.0,1.542440694999649e-09
1.2,0.25,2e-07,4e-07,25.0,2.156960412994235e-09
1.6999999999999997,0.25,2e-07,4e-07,25.0,2.8791468612123093e-09
2.1999999999999997,0.25,2e-07,4e-07,25.0,3.72413902938509e-09
2.6999999999999997,0.25,2e-07,4e-07,25.0,4.9427394137852044e-09
0.2,0.25,2e-07,4e-07,25.0,1.1115250299553922e-09
0.7,0.25,2e-07,4e-07,25.0,1.751523021210716e-09
1.2,0.25,2e-07,4e-07,25.0,2.306966726887766e-09
1.6999999999999997,0.25,2e-07,4e-07,25.0,3.163362418974269e-09
2.1999999999999997,0.25,2e-07,4e-07,25.0,4.495332603245688e-09
2.6999999999999997,0.25,2e-07,4e-07,25.0,6.14362688517e-09
0.2,0.25,2e-07,4e-07,25.0,1.086852761625777e-09
0.7,0.25,2e-07,4e-07,25.0,1.5970378534592239e-09
1.2,0.25,2e-07,4e-07,25.0,2.2898320953297424e-09
1.6999999999999997,0.25,2e-07,4e-07,25.0,2.9726670810260134e-09
2.1999999999999997,0.25,2e-07,4e-07,25.0,4.133532890187861e-09
2.6999999999999997,0.25,2e-07,4e-07,25.0,5.388634536625055e-09
0.2,0.25,2e-07,4e-07,25.0,1.0266704499875272e-09
0.7,0.25,2e-07,4e-07,25.0,1.6370176157295545e-09
1.2,0.25,2e-07,4e-07,25.0,2.155511948077857e-09
1.6999999999999997,0.25,2e-07,4e-07,25.0,2.9165415179549495e-09
2.1999999999999997,0.25,2e-07,4e-07,25.0,3.733396732721109e-09
2.6999999999999997,0.25,2e-07,4e-07,25.0,5.272494629505915e-09
0.2,0.25,2e-07,4e-07,50.0,1.8525696956914578e-09
0.7,0.25,2e-07,4e-07,50.0,2.775165435486084e-09
1.2,0.25,2e-07,4e-07,50.0,3.734551061726548e-09
1.6999999999999997,0.25,2e-07,4e-07,50.0,4.918650221579404e-09
2.1999999999999997,0.25,2e-07,4e-07,50.0,6.412344712137479e-09
2.6999999999999997,0.25,2e-07,4e-07,50.0,7.871160193079102e-09
0.2,0.25,2e-07,4e-07,50.0,1.8279623407962844e-09
0.7,0.25,2e-07,4e-07,50.0,2.6376315074546615e-09
1.2,0.25,2e-07,4e-07,50.0,3.658186988757156e-09
1.6999999999999997,0.25,2e-07,4e-07,50.0,4.871324027430468e-09
2.1999999999999997,0.25,2e-07,4e-07,50.0,6.412195228687271e-09
2.6999999999999997,0.25,2e-07,4e-07,50.0,7.774344974778206e-09
0.2,0.25,2e-07,4e-07,50.0,1.943581360924802e-09
0.7,0.25,2e-07,4e-07,50.0,2.762975696863954e-09
