Vds,Vgs,L,W,T,Id
0.0,0.0,2e-07,2e-07,0.0,-7.969456558975198e-29
0.25,0.0,2e-07,2e-07,0.0,8.280737207044808e-13
0.5,0.0,2e-07,2e-07,0.0,1.4154372118824199e-12
0.75,0.0,2e-07,2e-07,0.0,2.017469524773219e-12
1.0,0.0,2e-07,2e-07,0.0,2.637973173236219e-12
1.25,0.0,2e-07,2e-07,0.0,3.2803204597087188e-12
1.5,0.0,2e-07,2e-07,0.0,3.948230631323213e-12
1.75,0.0,2e-07,2e-07,0.0,4.6457282465439675e-12
2.0,0.0,2e-07,2e-07,0.0,5.377864820133027e-12
2.25,0.0,2e-07,2e-07,0.0,6.149969422608592e-12
2.5,0.0,2e-07,2e-07,0.0,6.968592369815951e-12
2.75,0.0,2e-07,2e-07,0.0,7.840950111415168e-12
3.0,0.0,2e-07,2e-07,0.0,8.775646875847087e-12
0.0,0.0,2e-07,2e-07,25.0,-5.480609004290327e-29
0.25,0.0,2e-07,2e-07,25.0,1.0390924232162035e-12
0.5,0.0,2e-07,2e-07,25.0,1.6694562399166557e-12
0.75,0.0,2e-07,2e-07,25.0,2.319172631715105e-12
1.0,0.0,2e-07,2e-07,25.0,2.9934943412968096e-12
1.25,0.0,2e-07,2e-07,25.0,3.696598582791921e-12
1.5,0.0,2e-07,2e-07,25.0,4.432954003874556e-12
1.75,0.0,2e-07,2e-07,25.0,5.207612119306759e-12
2.0,0.0,2e-07,2e-07,25.0,6.0262350665141184e-12
2.25,0.0,2e-07,2e-07,25.0,6.895373161341922e-12
2.5,0.0,2e-07,2e-07,25.0,7.82246489805516e-12
2.75,0.0,2e-07,2e-07,25.0,8.815781438187287e-12
3.0,0.0,2e-07,2e-07,25.0,9.884981722052544e-12
0.0,0.0,2e-07,2e-07,50.0,1.603445021604481e-28
0.25,0.0,2e-07,2e-07,50.0,1.7668574936458015e-12
0.5,0.0,2e-07,2e-07,50.0,2.5474206077902295e-12
0.75,0.0,2e-07,2e-07,50.0,3.364836187458309e-12
1.0,0.0,2e-07,2e-07,50.0,4.229783190368153e-12
1.25,0.0,2e-07,2e-07,50.0,5.150047055479945e-12
1.5,0.0,2e-07,2e-07,50.0,6.13353812184414e-12
1.75,0.0,2e-07,2e-07,50.0,7.189360218262664e-12
2.0,0.0,2e-07,2e-07,50.0,8.327172285049755e-12
2.25,0.0,2e-07,2e-07,50.0,9.558354108207823e-12
2.5,0.0,2e-07,2e-07,50.0,1.089545120791513e-11
2.75,0.0,2e-07,2e-07,50.0,1.235267443888688e-11
3.0,0.0,2e-07,2e-07,50.0,1.3946177546131366e-11
0.0,0.0,2e-07,4e-07,0.0,-6.75346110537047e-29
0.25,0.0,2e-07,4e-07,0.0,7.332606744014925e-13
0.5,0.0,2e-07,4e-07,0.0,1.2865958298746705e-12
0.75,0.0,2e-07,4e-07,0.0,1.8464951789809447e-12
1.0,0.0,2e-07,4e-07,0.0,2.4146518118328686e-12
1.25,0.0,2e-07,4e-07,0.0,2.9924118738478e-12
1.5,0.0,2e-07,4e-07,0.0,3.5808578324747486e-12
1.75,0.0,2e-07,4e-07,0.0,4.181377466494496e-12
