Vds,Vgs,L,W,T,Id
0.0,0.0,2e-07,2e-07,0.0,-3.9870833556954737e-29
0.25,0.0,2e-07,2e-07,0.0,8.472641157451851e-13
0.5,0.0,2e-07,2e-07,0.0,1.3862502876511931e-12
0.75,0.0,2e-07,2e-07,0.0,1.993459676890021e-12
1.0,0.0,2e-07,2e-07,0.0,2.6770200121483754e-12
1.25,0.0,2e-07,2e-07,0.0,3.577857829524727e-12
1.5,0.0,2e-07,2e-07,0.0,4.204237144680099e-12
1.75,0.0,2e-07,2e-07,0.0,4.611668339619495e-12
2.0,0.0,2e-07,2e-07,0.0,5.243408215653621e-12
2.25,0.0,2e-07,2e-07,0.0,6.174690287010299e-12
2.5,0.0,2e-07,2e-07,0.0,6.900405694965802e-12
2.75,0.0,2e-07,2e-07,0.0,8.013949457288407e-12
3.0,0.0,2e-07,2e-07,0.0,8.873523531774049e-12
0.0,0.0,2e-07,2e-07,0.0,-4.1137220036070356e-29
0.25,0.0,2e-07,2e-07,0.0,7.447992392075381e-13
0.5,0.0,2e-07,2e-07,0.0,1.3382645473188946e-12
0.75,0.0,2e-07,2e-07,0.0,1.8026323879821869e-12
1.0,0.0,2e-07,2e-07,0.0,2.4738304101259363e-12
1.25,0.0,2e-07,2e-07,0.0,3.091975315369359e-12
1.5,0.0,2e-07,2e-07,0.0,3.720088588739555e-12
1.75,0.0,2e-07,2e-07,0.0,4.1737311109489564e-12
2.0,0.0,2e-07,2e-07,0.0,5.140230890715383e-12
2.25,0.0,2e-07,2e-07,0.0,5.603721674236866e-12
2.5,0.0,2e-07,2e-07,0.0,6.459721571354859e-12
2.75,0.0,2e-07,2e-07,0.0,7.289701214182677e-12
3.0,0.0,2e-07,2e-07,0.0,7.964707533998646e-12
0.0,0.0,2e-07,2e-07,0.0,-1.1026104459256566e-28
0.25,0.0,2e-07,2e-07,0.0,7.742732074665954e-13
0.5,0.0,2e-07,2e-07,0.0,1.3500242197213501e-12
0.75,0.0,2e-07,2e-07,0.0,1.977406572536917e-12
1.0,0.0,2e-07,2e-07,0.0,2.488424714440236e-12
1.25,0.0,2e-07,2e-07,0.0,3.1701568870376373e-12
1.5,0.0,2e-07,2e-07,0.0,3.716874378717046e-12
1.75,0.0,2e-07,2e-07,0.0,4.156265598982775e-12
2.0,0.0,2e-07,2e-07,0.0,4.96965191478605e-12
2.25,0.0,2e-07,2e-07,0.0,5.440001467295441e-12
2.5,0.0,2e-07,2e-07,0.0,6.493419478498095e-12
