val_loss,iteration,activation_1,activation_2,activation_out,layers_1,layers_2,loss,optimizer,process
2.1546532495748198e-08,0,relu,sigmoid,sigmoid,30,25,mae,Adam,data_log
2.2811893395036412e-08,1,tanh,sigmoid,sigmoid,10,20,mae,SGD,data_log
8.0105907157989e-08,2,linear,linear,softmax,20,15,mse,SGD,data_std
1.074409116899384e-08,3,softmax,sigmoid,tanh,35,25,mae,Adam,data_lognorm
1.2163703252782883e-08,4,tanh,tanh,tanh,40,30,mse,Adam,data_std
9.343484436327855e-08,5,softmax,softmax,softmax,10,15,mae,Adam,data_lognorm
1.2291641107648532e-08,6,relu,sigmoid,tanh,40,30,mse,SGD,data_std
1.2379321330111592e-08,7,sigmoid,tanh,tanh,25,30,mae,SGD,data_std
2.2376833603970406e-08,8,relu,softmax,sigmoid,10,5,mae,Adam,data_log
2.3163444240253153e-08,9,linear,tanh,tanh,5,10,mse,Adam,data_log
1.2145942745868699e-08,10,softmax,relu,tanh,5,20,mse,SGD,data_lognorm
2.178217375210043e-08,11,linear,sigmoid,sigmoid,30,25,mae,Adam,data_log
4.0686046293522604e-08,12,tanh,softmax,sigmoid,5,35,mae,SGD,data_std
2.0491045764286245e-08,13,relu,softmax,tanh,10,20,mse,Adam,data_log
2.4563073538766036e-08,14,sigmoid,tanh,sigmoid,10,5,mse,SGD,data_log
2.132012272120685e-08,15,softmax,softmax,sigmoid,10,40,mse,Adam,data_std
1.1170754380680463e-08,16,tanh,relu,sigmoid,25,10,mse,SGD,data_lognorm
2.151471040096103e-08,17,softmax,linear,sigmoid,15,30,mse,SGD,data_std
2.302355400489677e-08,18,softmax,linear,tanh,15,35,mse,SGD,data_log
2.2055407203287956e-08,19,tanh,softmax,sigmoid,20,5,mae,SGD,data_log
9.343484436327855e-08,20,tanh,relu,softmax,35,10,mae,Adam,data_lognorm
9.343484436327855e-08,21,tanh,relu,softmax,35,25,mae,Adam,data_lognorm
1.1792580091140917e-08,22,softmax,relu,tanh,25,10,mse,SGD,data_lognorm
1.0462875756313875e-08,23,sigmoid,sigmoid,tanh,35,40,mae,Adam,data_lognorm
1.0479186291065482e-08,24,sigmoid,sigmoid,tanh,35,40,mae,Adam,data_lognorm
1.0464573017059382e-08,25,sigmoid,sigmoid,tanh,35,40,mae,Adam,data_lognorm
1.0476001956255775e-08,26,sigmoid,sigmoid,tanh,35,40,mae,Adam,data_lognorm
1.0470725288201322e-08,27,sigmoid,sigmoid,tanh,35,40,mae,Adam,data_lognorm
1.0486363857899269e-08,28,sigmoid,sigmoid,tanh,30,40,mae,Adam,data_lognorm
1.0492083588455089e-08,29,sigmoid,sigmoid,tanh,35,40,mae,Adam,data_lognorm
9.343484436327855e-08,30,sigmoid,sigmoid,softmax,35,40,mae,Adam,data_lognorm
1.0459310915473017e-08,31,sigmoid,sigmoid,tanh,20,40,mae,Adam,data_lognorm
1.1275525147232778e-08,32,sigmoid,linear,tanh,20,15,mae,Adam,data_lognorm
9.343484436327855e-08,33,linear,sigmoid,softmax,20,35,mae,Adam,data_lognorm
1.0503467892623142e-08,34,sigmoid,sigmoid,tanh,20,40,mae,Adam,data_lognorm
1.0483965857686977e-08,35,relu,sigmoid,tanh,40,15,mae,Adam,data_lognorm
1.1231700554936222e-08,36,sigmoid,linear,tanh,20,20,mae,Adam,data_lognorm
8.0105907157989e-08,37,linear,tanh,softmax,15,40,mae,Adam,data_std
1.0470893413933125e-08,38,sigmoid,sigmoid,tanh,40,25,mae,Adam,data_lognorm
1.047454977087044e-08,39,relu,sigmoid,tanh,30,30,mae,Adam,data_lognorm
1.217145479069305e-08,40,sigmoid,tanh,tanh,20,15,mae,Adam,data_std
9.343484436327855e-08,41,linear,sigmoid,softmax,5,5,mae,Adam,data_lognorm
2.0950265724017248e-08,42,sigmoid,linear,tanh,25,40,mae,Adam,data_log
