Vds,Vgs,L,W,T,Id
0.25,0.25,2e-07,2e-07,0.0,2.869909458264907e-10
0.5,0.25,2e-07,2e-07,0.0,3.6199922758922747e-10
0.75,0.25,2e-07,2e-07,0.0,4.490921225578852e-10
1.0,0.25,2e-07,2e-07,0.0,5.607895673537328e-10
1.25,0.25,2e-07,2e-07,0.0,7.004923631019276e-10
1.5,0.25,2e-07,2e-07,0.0,8.040542452583443e-10
1.75,0.25,2e-07,2e-07,0.0,9.397698251149635e-10
2.0,0.25,2e-07,2e-07,0.0,1.1604900523769922e-09
2.25,0.25,2e-07,2e-07,0.0,1.4623090565618395e-09
2.5,0.25,2e-07,2e-07,0.0,1.7458074940171648e-09
2.75,0.25,2e-07,2e-07,0.0,2.0167031913514103e-09
3.0,0.25,2e-07,2e-07,0.0,2.2854893236274955e-09
0.25,0.25,2e-07,2e-07,0.0,3.0316697413139864e-10
0.5,0.25,2e-07,2e-07,0.0,3.6132520456397803e-10
0.75,0.25,2e-07,2e-07,0.0,4.315723505250037e-10
1.0,0.25,2e-07,2e-07,0.0,5.536547317541854e-10
1.25,0.25,2e-07,2e-07,0.0,6.627379201863023e-10
1.5,0.25,2e-07,2e-07,0.0,8.634703590081441e-10
1.75,0.25,2e-07,2e-07,0.0,1.0162954366435979e-09
2.0,0.25,2e-07,2e-07,0.0,1.2268524594122588e-09
2.25,0.25,2e-07,2e-07,0.0,1.4754628619461158e-09
2.5,0.25,2e-07,2e-07,0.0,1.8258998531173797e-09
2.75,0.25,2e-07,2e-07,0.0,2.06116927602053e-09
3.0,0.25,2e-07,2e-07,0.0,2.5484364803068224e-09
0.25,0.25,2e-07,2e-07,0.0,2.904550697234739e-10
0.5,0.25,2e-07,2e-07,0.0,3.773847367262085e-10
0.75,0.25,2e-07,2e-07,0.0,4.70394235978951e-10
1.0,0.25,2e-07,2e-07,0.0,6.089998907365209e-10
1.25,0.25,2e-07,2e-07,0.0,6.982391299729942e-10
1.5,0.25,2e-07,2e-07,0.0,8.824734817653941e-10
1.75,0.25,2e-07,2e-07,0.0,1.0530745971421402e-09
2.0,0.25,2e-07,2e-07,0.0,1.3015387868476732e-09
2.25,0.25,2e-07,2e-07,0.0,1.5740350802729715e-09
2.5,0.25,2e-07,2e-07,0.0,1.821617012626372e-09
2.75,0.25,2e-07,2e-07,0.0,2.297018570528003e-09
3.0,0.25,2e-07,2e-07,0.0,2.6054879394739415e-09
0.25,0.25,2e-07,2e-07,0.0,2.8407863976175493e-10
0.5,0.25,2e-07,2e-07,0.0,3.5454424147933825e-10
0.75,0.25,2e-07,2e-07,0.0,4.3890328236127984e-10
1.0,0.25,2e-07,2e-07,0.0,5.429696347497e-10
1.25,0.25,2e-07,2e-07,0.0,6.593483102671665e-10
1.5,0.25,2e-07,2e-07,0.0,7.816582569073858e-10
1.75,0.25,2e-07,2e-07,0.0,9.67896565505302e-10
2.0,0.25,2e-07,2e-07,0.0,1.1201803800860355e-09
2.25,0.25,2e-07,2e-07,0.0,1.371160546206472e-09
2.5,0.25,2e-07,2e-07,0.0,1.6642657858020114e-09
2.75,0.25,2e-07,2e-07,0.0,1.9493592273717437e-09
3.0,0.25,2e-07,2e-07,0.0,2.34254239222548e-09
0.25,0.25,2e-07,2e-07,0.0,2.9142759135383484e-10
0.5,0.25,2e-07,2e-07,0.0,3.340721424770619e-10
0.75,0.25,2e-07,2e-07,0.0,4.964135662966586e-10
1.0,0.25,2e-07,2e-07,0.0,5.576222508827303e-10
1.25,0.25,2e-07,2e-07,0.0,6.778005703555142e-10
1.5,0.25,2e-07,2e-07,0.0,8.58107371232226e-10
1.75,0.25,2e-07,2e-07,0.0,9.780721842165227e-10
2.0,0.25,2e-07,2e-07,0.0,1.2145068308057373e-09
2.25,0.25,2e-07,2e-07,0.0,1.4672346387445705e-09
2.5,0.25,2e-07,2e-07,0.0,1.7879664203044367e-09
2.75,0.25,2e-07,2e-07,0.0,2.024313260486967e-09
3.0,0.25,2e-07,2e-07,0.0,2.5037045423640565e-09
0.25,0.25,2e-07,2e-07,25.0,5.378029295401757e-10
0.5,0.25,2e-07,2e-07,25.0,6.611337489831364e-10
0.75,0.25,2e-07,2e-07,25.0,8.315901821779783e-10
1.0,0.25,2e-07,2e-07,25.0,1.0204214213946706e-09
1.25,0.25,2e-07,2e-07,25.0,1.2109768313181394e-09
1.5,0.25,2e-07,2e-07,25.0,1.4359567128572912e-09
1.75,0.25,2e-07,2e-07,25.0,1.7342951614125183e-09
2.0,0.25,2e-07,2e-07,25.0,2.013102786108911e-09
2.25,0.25,2e-07,2e-07,25.0,2.3568435393507087e-09
2.5,0.25,2e-07,2e-07,25.0,2.8585163290042207e-09
2.75,0.25,2e-07,2e-07,25.0,3.1815212468466713e-09
3.0,0.25,2e-07,2e-07,25.0,3.726922072212546e-09
0.25,0.25,2e-07,2e-07,25.0,5.363430089222569e-10
0.5,0.25,2e-07,2e-07,25.0,6.964882727528751e-10
0.75,0.25,2e-07,2e-07,25.0,8.435441413132705e-10
1.0,0.25,2e-07,2e-07,25.0,9.907681244487552e-10
1.25,0.25,2e-07,2e-07,25.0,1.2063969696476434e-09
1.5,0.25,2e-07,2e-07,25.0,1.39140465844957e-09
1.75,0.25,2e-07,2e-07,25.0,1.753687497169878e-09
2.0,0.25,2e-07,2e-07,25.0,1.9900580883899538e-09
2.25,0.25,2e-07,2e-07,25.0,2.360250290673007e-09
2.5,0.25,2e-07,2e-07,25.0,2.713367304856698e-09
2.75,0.25,2e-07,2e-07,25.0,3.2349281509106435e-09
3.0,0.25,2e-07,2e-07,25.0,3.717557194579915e-09
