Vds,Vgs,L,W,T,Id
0.0,0.0,2e-07,2e-07,0.0,-1.205875985842158e-28
0.25,0.0,2e-07,2e-07,0.0,6.993572387870017e-13
0.5,0.0,2e-07,2e-07,0.0,1.252303816201561e-12
0.75,0.0,2e-07,2e-07,0.0,1.8141321778131214e-12
1.0,0.0,2e-07,2e-07,0.0,2.3872015475490116e-12
1.25,0.0,2e-07,2e-07,0.0,2.973565838004788e-12
1.5,0.0,2e-07,2e-07,0.0,3.575306717351623e-12
1.75,0.0,2e-07,2e-07,0.0,4.1950887208486165e-12
2.0,0.0,2e-07,2e-07,0.0,4.835853939511026e-12
2.25,0.0,2e-07,2e-07,0.0,5.500822020110263e-12
2.5,0.0,2e-07,2e-07,0.0,6.194156298988673e-12
2.75,0.0,2e-07,2e-07,0.0,6.9199646013373695e-12
3.0,0.0,2e-07,2e-07,0.0,7.683742531128246e-12
0.0,0.0,2e-07,2e-07,25.0,-1.6621459078921228e-28
0.25,0.0,2e-07,2e-07,25.0,1.2240139457553312e-12
0.5,0.0,2e-07,2e-07,25.0,1.8994666950433725e-12
0.75,0.0,2e-07,2e-07,25.0,2.6008917242137386e-12
1.0,0.0,2e-07,2e-07,25.0,3.3354430328813578e-12
1.25,0.0,2e-07,2e-07,25.0,4.1087688806840106e-12
1.5,0.0,2e-07,2e-07,25.0,4.926781205227826e-12
1.75,0.0,2e-07,2e-07,25.0,5.79636338926548e-12
2.0,0.0,2e-07,2e-07,25.0,6.725231482818117e-12
2.25,0.0,2e-07,2e-07,25.0,7.72187869202412e-12
2.5,0.0,2e-07,2e-07,25.0,8.796574579861272e-12
2.75,0.0,2e-07,2e-07,25.0,9.960421376575823e-12
3.0,0.0,2e-07,2e-07,25.0,1.1226242158102195e-11
0.0,0.0,2e-07,2e-07,50.0,-2.28074804015746e-28
0.25,0.0,2e-07,2e-07,50.0,2.6509974770938527e-12
0.5,0.0,2e-07,2e-07,50.0,3.630110101404682e-12
0.75,0.0,2e-07,2e-07,50.0,4.672123798954431e-12
1.0,0.0,2e-07,2e-07,50.0,5.795391944118933e-12
1.25,0.0,2e-07,2e-07,50.0,7.013195579830267e-12
1.5,0.0,2e-07,2e-07,50.0,8.339107182564476e-12
1.75,0.0,2e-07,2e-07,50.0,9.788503341212618e-12
2.0,0.0,2e-07,2e-07,50.0,1.1378120667870917e-11
2.25,0.0,2e-07,2e-07,50.0,1.3127277043167851e-11
2.5,0.0,2e-07,2e-07,50.0,1.5057399771478686e-11
2.75,0.0,2e-07,2e-07,50.0,1.7192802737042712e-11
3.0,0.0,2e-07,2e-07,50.0,1.9561019470870633e-11
0.0,0.0,2e-07,4e-07,0.0,-1.0824331290906728e-28
0.25,0.0,2e-07,4e-07,0.0,9.304362835749203e-13
0.5,0.0,2e-07,4e-07,0.0,1.5295542610260782e-12
0.75,0.0,2e-07,4e-07,0.0,2.140870813960305e-12
1.0,0.0,2e-07,4e-07,0.0,2.7676194669368215e-12
1.25,0.0,2e-07,4e-07,0.0,3.4119929104292623e-12
1.5,0.0,2e-07,4e-07,0.0,4.07651690181865e-12
1.75,0.0,2e-07,4e-07,0.0,4.763411887154234e-12
2.0,0.0,2e-07,4e-07,0.0,5.475675468602503e-12
2.25,0.0,2e-07,4e-07,0.0,6.2163607594811765e-12
2.5,0.0,2e-07,4e-07,0.0,6.988909451166592e-12
2.75,0.0,2e-07,4e-07,0.0,7.797151813093706e-12
3.0,0.0,2e-07,4e-07,0.0,8.645306692756094e-12
0.0,0.0,2e-07,4e-07,25.0,-3.713773007411535e-28
0.25,0.0,2e-07,4e-07,25.0,2.010433486354657e-12
0.5,0.0,2e-07,4e-07,25.0,2.827779677083697e-12
0.75,0.0,2e-07,4e-07,25.0,3.678918281124766e-12
1.0,0.0,2e-07,4e-07,25.0,4.574035594728798e-12
1.25,0.0,2e-07,4e-07,25.0,5.519390500197119e-12
1.5,0.0,2e-07,4e-07,25.0,6.521172490892013e-12
1.75,0.0,2e-07,4e-07,25.0,7.585820860356307e-12
2.0,0.0,2e-07,4e-07,25.0,8.720524302674448e-12
2.25,0.0,2e-07,4e-07,25.0,9.933165401321276e-12
2.5,0.0,2e-07,4e-07,25.0,1.1232514918191328e-11
2.75,0.0,2e-07,4e-07,25.0,1.2627843215540224e-11
3.0,0.0,2e-07,4e-07,25.0,1.412991945670683e-11
0.0,0.0,2e-07,4e-07,50.0,-9.33255360989489e-28
0.25,0.0,2e-07,4e-07,50.0,4.854734669823557e-12
0.5,0.0,2e-07,4e-07,50.0,6.1957106112231486e-12
0.75,0.0,2e-07,4e-07,50.0,7.614270325362327e-12
1.0,0.0,2e-07,4e-07,50.0,9.137385292845579e-12
1.25,0.0,2e-07,4e-07,50.0,1.0779765968749189e-11
1.5,0.0,2e-07,4e-07,50.0,1.2555179118578508e-11
1.75,0.0,2e-07,4e-07,50.0,1.4478029886078048e-11
2.0,0.0,2e-07,4e-07,50.0,1.656380588244133e-11
2.25,0.0,2e-07,4e-07,50.0,1.8829438008793886e-11
2.5,0.0,2e-07,4e-07,50.0,2.1293411478495727e-11
2.75,0.0,2e-07,4e-07,50.0,2.39758768394438e-11
3.0,0.0,2e-07,4e-07,50.0,2.6898927529828143e-11
0.0,0.0,2e-07,1e-06,0.0,-4.327164878903018e-28
0.25,0.0,2e-07,1e-06,0.0,1.5445630885402295e-12
0.5,0.0,2e-07,1e-06,0.0,2.2608859229222844e-12
0.75,0.0,2e-07,1e-06,0.0,2.9976299220635383e-12
1.0,0.0,2e-07,1e-06,0.0,3.7609082514933334e-12
1.25,0.0,2e-07,1e-06,0.0,4.554218113739239e-12
1.5,0.0,2e-07,1e-06,0.0,5.3807513999970524e-12
1.75,0.0,2e-07,1e-06,0.0,6.244060823945574e-12
2.0,0.0,2e-07,1e-06,0.0,7.14772685483922e-12
2.25,0.0,2e-07,1e-06,0.0,8.095746295566641e-12
2.5,0.0,2e-07,1e-06,0.0,9.092560038226338e-12
2.75,0.0,2e-07,1e-06,0.0,1.0142831019521736e-11
3.0,0.0,2e-07,1e-06,0.0,1.1251777287668574e-11
0.0,0.0,2e-07,1e-06,25.0,-4.684733464478532e-28
0.25,0.0,2e-07,1e-06,25.0,4.079653281863216e-12
0.5,0.0,2e-07,1e-06,25.0,5.254990886882638e-12
0.75,0.0,2e-07,1e-06,25.0,6.484562886654999e-12
1.0,0.0,2e-07,1e-06,25.0,7.787742672960007e-12
1.25,0.0,2e-07,1e-06,25.0,9.174216941687519e-12
1.5,0.0,2e-07,1e-06,25.0,1.0652478898975914e-11
1.75,0.0,2e-07,1e-06,25.0,1.2231271551144118e-11
2.0,0.0,2e-07,1e-06,25.0,1.3920031793901444e-11
2.25,0.0,2e-07,1e-06,25.0,1.5728640612167055e-11
